codice_aic;denominazione;principio_attivo;confezione;classe
25303049;RIFACOL;Rifaximina;os grat sosp 60 ml 2 g/100 ml;A
25306010;SANDIMMUN;Ciclosporina;os soluz 50 ml 100 mg/ml + siringa;A
25306022;SANDIMMUN;Ciclosporina;10 fiale EV 250 mg 5 ml;A
25306034;SANDIMMUN;Ciclosporina;50 cps 25 mg;A
25306046;SANDIMMUN;Ciclosporina;50 cps 50 mg;A
25306059;SANDIMMUN;Ciclosporina;30 cps 100 mg;A
25312024;UROMITEXAN;Mesna;15 fiale EV 400 mg 4 ml;A
25317013;KERLON;Betaxololo;28 cpr riv 20 mg;A
25318027;MIOKACIN;Miocamicina;12 cpr riv 600 mg;A
25318054;MIOKACIN;Miocamicina;grat os sosp 30 g 250 mg/5 ml;A
25318066;MIOKACIN;Miocamicina;8 bust grat 900 mg;A
25320021;MACRORAL;Miocamicina;12 cpr 600 mg;A
25320058;MACRORAL;Miocamicina;grat os sosp 30 g 250 mg/5 ml;A
25320060;MACRORAL;Miocamicina;8 bust grat 900 mg;A
25322025;MIOCAMEN;Miocamicina;12 cpr riv 600 mg;A
25322037;MIOCAMEN;Miocamicina;grat os sosp 30 g 250 mg/5 ml;A
25322064;MIOCAMEN;Miocamicina;8 bust grat 900 mg;A
25333016;HALDOL DECANOAS;Aloperidolo;3 fiale IM 50 mg 1 ml;A
25333028;HALDOL DECANOAS;Aloperidolo;1 fiala IM 150 mg 3 ml;A
25373010;HALDOL;Aloperidolo;30 cpr 1 mg;A
25373034;HALDOL;Aloperidolo;30 cpr 5 mg;A
25373061;HALDOL;Aloperidolo;os gtt 30 ml 10 mg/ml;A
25373073;HALDOL;Aloperidolo;5 fiale IM 1 ml 5 mg/ml;A
25377033;RIFINAH;Rifampicina/isoniazide;24 cpr riv 300 mg + 150 mg;A
25407026;PRIMBACTAM;Aztreonam;1 fiala IM EV 1 g + 1 fiala solv;A
25447018;DISEON;Alfacalcidolo;30 cps 0,25 mcg;A
25447020;DISEON;Alfacalcidolo;30 cps 1 mcg;A
25462021;JUMEX;Selegilina;25 cpr 10 mg;A
25474014;ANSIMAR;Doxofillina;20 cpr 400 mg;A
25474040;ANSIMAR;Doxofillina;3 fiale EV 100 mg 10 ml;A
25474065;ANSIMAR;Doxofillina;1 flacone 200 ml 20 mg/ml sciroppo;A
25487024;DEDIOL;Alfacalcidolo;30 cps 0,25 mcg;A
25487036;DEDIOL;Alfacalcidolo;os gtt 10 ml 2 mcg/ml;A
25494016;ALGINOR;Cimetropio bromuro;6 fiale IM EV 5 mg 1 ml;A
25540016;SUPREFACT;Buserelin;1 fiala SC 5,5 ml 1 mg/ml;A
25540028;SUPREFACT;Buserelin;soluz nasale 0,1 mg/erog 1 flacone 10 mg;A
25540030;SUPREFACT;Buserelin;1 siringa SC 6,3 mg rilascio prolungato;A
25540042;SUPREFACT;Buserelin;1 siringa SC 9,45 mg impianto depot;A
25575034;LIMICAN;Alizapride;6 fiale IM EV 50 mg 2 ml;A
25585011;OPTERON;Ticlopidina;30 cpr riv 250 mg;A
25623048;MONOCINQUE;Isosorbide mononitrato;30 cps 80 mg rilascio prolungato;A
25624014;MS CONTIN;Morfina solfato;16 cpr 10 mg rilascio prolungato;A
25624026;MS CONTIN;Morfina solfato;16 cpr 30 mg rilascio prolungato;A
25624038;MS CONTIN;Morfina solfato;16 cpr 60 mg rilascio prolungato;A
25624040;MS CONTIN;Morfina solfato;16 cpr 100 mg rilascio prolungato;A
25653015;IMMUNOHBS;Immunoglobulina umana antiepatite B;1 fiala IM 180 UI 1 ml;A
25653027;IMMUNOHBS;Immunoglobulina umana antiepatite B;1 fiala IM 540 UI 3 ml;A
25653054;IMMUNOHBS;Immunoglobulina umana antiepatite B;1 fiala IM 1.000 UI 3 ml;A
25680012;MONURIL;Fosfomicina;BB os grat 2 bust 2 g;A
25707011;HUMULIN R;Insulina umana da DNA ricombinante;1 fiala 1.000 UI 10 ml;A
25707035;HUMULIN I;Insulina umana isofano da DNA ricombinante;1 fiala SC IM 1.000 UI 10 ml;A
25707187;HUMULIN 30/70;Insulina umana da DNA ricombinante/insulina umana isofano da DNA ricombinante;1 fiala 1.000 UI 10 ml;A
25707365;HUMULIN R;Insulina umana da DNA ricombinante;5 cartucce 300 UI 3 ml;A
25730019;THEOLAIR SR 250;Teofillina;30 cpr 250 mg rilascio prolungato;A
25730021;THEOLAIR SR 350;Teofillina;30 cpr 350 mg rilascio prolungato;A
25737014;VISTAGAN;Levobunololo;collirio 5 ml 5 mg/ml;A
25737065;VISTAGAN;Levobunololo;collirio 60 flaconcini monodose 0,4 ml 5 mg/ml;A
25740085;DIFFUMAL;Teofillina;30 cpr div 200 mg rilascio prolungato;A
25740097;DIFFUMAL;Teofillina;30 cpr div 350 mg rilascio prolungato;A
25767029;ACEDIUR;Captopril/idroclorotiazide;12 cpr 50 mg + 15 mg;A
25804042;DERMAVAL;Diflucortolone;crema derm idrofoba 20 g 0,3%;A
25839111;ROFERON A;Interferone alfa 2A;1 siringa SC 3.000.000 UI 0,5 ml;A
25839212;ROFERON A;Interferone alfa 2A;1 siringa SC 6.000.000 UI 0,5 ml;A
25839263;ROFERON A;Interferone alfa 2A;1 siringa SC 9.000.000 UI 0,5 ml;A
25841089;AIMAFIX;Fattore IX di coagulazione del sangue umano liofilizzato;1 fiala EV 500 UI + 1 fiala solv 10 ml + set;A
25841103;AIMAFIX;Fattore IX di coagulazione del sangue umano liofilizzato;1 flaconcino EV 1.000 UI + 1 fiala solv 10 ml + set;A
25851027;COLPOGYN;Estriolo;crema vag 30 g + 6 applic;A
25851066;COLPOGYN;Estriolo;20 ov vag 1 mg;A
25855065;ANTAXONE;Naltrexone;os soluz 10 flaconcini 50 mg 10 ml;A
25871031;NORMOPRESS;Atenololo/indapamide;30 cpr div 100 mg + 2,5 mg;A
25899016;BETOPTIC;Betaxololo;collirio 5 ml 5 mg/ml;A
25939036;PEFLOX;Pefloxacina;2 cpr riv 400 mg;A
25999121;NIZACOL;Miconazolo;10 cpr 500 mg;A
26009023;LEVOPRAID;Levosulpiride;6 fiale IM EV 25 mg 2 ml;A
26009062;LEVOPRAID;Levosulpiride;6 fiale IM EV 50 mg 2 ml;A
26017020;IMPROMEN;Bromperidolo;30 cpr 5 mg;A
26017069;IMPROMEN;Bromperidolo;os gtt 30 ml 1%;A
26057012;CARTEOL;Carteololo;collirio 5 ml 1%;A
26057024;CARTEOL;Carteololo;collirio 5 ml 2%;A
26057036;CARTEOL;Carteololo;collirio 30 monodosi 0,3 ml 1%;A
26057048;CARTEOL;Carteololo;collirio 30 monodosi 0,3 ml 2%;A
26071023;BIONICARD;Nicardipina;50 cpr 20 mg;A
26446031;BREXIN;Piroxicam;os grat 20 bust 20 mg;A
26089146;AUGMENTIN;Amoxicillina/acido clavulanico;BB os polv 12 bust 400 mg + 57 mg;A
26129015;GLIBOMET;Metformina/glibenclamide;40 cpr riv 2,5 mg + 400 mg;A
26129041;GLIBOMET;Metformina/glibenclamide;60 cpr riv 5 mg + 400 mg;A
26138230;CLAVULIN;Amoxicillina/acido clavulanico;BB os sosp 12 bust 400 mg + 57 mg;A
26232013;BAYPRESS;Nitrendipina;28 cpr 20 mg;A
26270076;FLUXUM;Parnaparina;6 siringhe SC 3.200 UI aXa 0,3 ml;A
26270088;FLUXUM;Parnaparina;6 siringhe SC 4.250 UI aXa 0,4 ml;A
26270090;FLUXUM;Parnaparina;6 siringhe SC 6.400 UI aXa 0,6 ml;A
26270126;FLUXUM;Parnaparina;6 siringhe SC 8.500 UI aXa 0,8 ml;A
26297010;BIDIEN;Budesonide;crema derm 30 g 0,025%;A
26297022;BIDIEN;Budesonide;ung derm 30 g 0,025%;A
26396046;SINARTROL;Cinnoxicam;20 cpr 30 mg;A
26458012;TARGOSID;Teicoplanina;1 flaconcino IM EV 200 mg + 1 fiala solv 3 ml;A
26471019;ZOLADEX;Goserelin;1 siringa SC 3,6 mg rilascio prolungato;A
26471021;ZOLADEX;Goserelin;1 siringa SC 10,8 mg rilascio prolungato;A
26488015;CYTOTEC;Misoprostolo;50 cpr 200 mcg;A
26518011;ALFAFERONE;Interferone alfa N3;1 fiala IM SC EV 1.000.000 UI 1 ml;A
26518050;ALFAFERONE;Interferone alfa N3;1 fiala IM SC EV 6.000.000 UI 1 ml;A
26518062;ALFAFERONE;Interferone alfa N3;1 fiala IM SC EV 3.000.000 UI 1 ml;A
26520015;KRYPTOCUR;Gonadorelina;2 flaconi spray nasale 10 g;A
26600078;HAEMATE P;Fattore VIII umano di coagulazione/fattore di Von Willebrand;1 flacone EV 1.000 UI + 1 flaconcino solv 15 ml + set;A
26600080;HAEMATE P;Fattore VIII umano di coagulazione/fattore di Von Willebrand;1 flacone EV 500 UI + 1 flacone solv 10 ml + set;A
26613048;COLPOTROPHINE;Promestriene;crema vag 30 g 1% + applic;A
26613051;COLPOTROPHINE;Promestriene;20 cps vag 10 mg;A
26616019;NIZAX;Nizatidina;20 cps 150 mg;A
26616021;NIZAX;Nizatidina;10 cps 300 mg;A
26632036;TILADE;Nedocromile;aerosol 36 fiale 10 mg 2 ml;A
26632048;TILADE;Nedocromile;aerosol 112 erog 2 mg;A
26664084;CIPROXIN;Ciprofloxacina;os sosp grat 100 ml 250 mg/5 ml;A
26664122;CIPROXIN;Ciprofloxacina;3 cpr 500 mg rilascio modificato;A
26664146;CIPROXIN;Ciprofloxacina;7 cpr 1.000 mg rilascio modificato;A
26667028;SYSCOR;Nisoldipina;24 cpr riv 10 mg;A
26670024;MITTOVAL;Alfuzosina;30 cpr riv 2,5 mg;A
26672079;ARTAXAN;Nabumetone;30 cpr riv 1 g;A
26672081;ARTAXAN;Nabumetone;os grat 30 bust 1 g;A
26688034;SUSTEMIAL;Ferroso gluconato;30 cpr eff div 650 mg;A
26696031;GLUCOFERRO;Ferroso gluconato;30 cpr eff 650 mg;A
26707036;TUDCABIL;Acido tauroursodesossicolico;20 cps 250 mg;A
26727014;RULID;Roxitromicina;12 cpr riv 150 mg;A
26727038;RULID;Roxitromicina;BB 12 cpr dispers 50 mg;A
26727040;RULID;Roxitromicina;6 cpr riv 300 mg;A
26728016;OVERAL;Roxitromicina;12 cpr riv 150 mg;A
26728030;OVERAL;Roxitromicina;BB 12 cpr dispers 50 mg;A
26728055;OVERAL;Roxitromicina;6 cpr riv 300 mg;A
26738017;SELEPARINA;Nadroparina;6 siringhe SC 2.850 UI 0,3 ml;A
26738056;SELEPARINA;Nadroparina;6 siringhe SC 3.800 UI 0,4 ml;A
26738070;SELEPARINA;Nadroparina;10 siringhe SC 5.700 UI 0,6 ml;A
26738094;SELEPARINA;Nadroparina;10 siringhe SC 7.600 UI 0,8 ml;A
26738118;SELEPARINA;Nadroparina;10 siringhe SC 9.500 UI 1 ml;A
26756039;LORICIN;Ampicillina/sulbactam;1 fiala IM 1 g + 500 mg + 1 fiala solv 3,2 ml;A
26772020;TAURO;Acido tauroursodesossicolico;20 cps 150 mg;A
26772032;TAURO;Acido tauroursodesossicolico;20 cps 250 mg;A
26844098;GENOTROPIN KABIPEN;Somatropina;1 tubofiala SC 5,3 mg;A
26844163;GENOTROPIN;Somatropina;1 tubofiala SC 12 mg 1 ml;A
26844187;GENOTROPIN MINIQUICK;Somatropina;7 cartucce SC 0,2 mg in 7 siringhe monodose + 7 aghi;A
26844199;GENOTROPIN MINIQUICK;Somatropina;7 cartucce SC 0,4 mg in 7 siringhe monodose + 7 aghi;A
26844201;GENOTROPIN MINIQUICK;Somatropina;7 cartucce SC 0,6 mg in 7 siringhe monodose + 7 aghi;A
26844213;GENOTROPIN MINIQUICK;Somatropina;7 cartucce SC 0,8 mg in 7 siringhe monodose + 7 aghi;A
26844225;GENOTROPIN MINIQUICK;Somatropina;7 cartucce SC 1 mg in 7 siringhe monodose + 7 aghi;A
26844237;GENOTROPIN MINIQUICK;Somatropina;4 tubofiale SC 1,2 mg;A
26844249;GENOTROPIN MINIQUICK;Somatropina;4 tubofiale SC 1,4 mg;A
26844252;GENOTROPIN MINIQUICK;Somatropina;4 tubofiale SC 1,6 mg;A
26844264;GENOTROPIN MINIQUICK;Somatropina;4 tubofiale SC 1,8 mg;A
26844276;GENOTROPIN MINIQUICK;Somatropina;4 tubofiale SC 2 mg;A
26844340;GENOTROPIN;Somatropina;goquick 1 penna preriempita 5,3 mg;A
26844365;GENOTROPIN;Somatropina;goquick 1 penna preriempita 12 mg;A
26863011;SAIZEN;Somatropina;1 flaconcino 1,33 mg 4 UI + 1 fiala solv 1 ml;A
26863100;SAIZEN;Somatropina;1 flaconcino 8 mg + 1 cartuccia clickeasy;A
26863148;SAIZEN;Somatropina;1 cartuccia IM SC 5,83 mg/ml 1,03 ml;A
26863163;SAIZEN;Somatropina;1 cartuccia SC 8 mg/ml 1,50 ml;A
26890158;CLOPIXOL;Zuclopentixolo;1 fiala IM 200 mg 1 ml rilascio prolungato;A
26915049;ZINNAT;Cefuroxima;os sosp grat 100 ml 125 mg/5 ml;A
26915076;ZINNAT;Cefuroxima;os sosp grat 50 ml 250 mg/5 ml;A
26919011;ASSORAL;Roxitromicina;12 cpr riv 150 mg;A
26919047;ASSORAL;Roxitromicina;6 cpr riv 300 mg;A
26922017;ROSSITROL;Roxitromicina;12 cpr riv 150 mg;A
26922031;ROSSITROL;Roxitromicina;BB 12 cpr dispers 50 mg;A
26922043;ROSSITROL;Roxitromicina;6 cpr riv 300 mg;A
26925038;PENTACOL;Mesalazina;20 bust polv 1,5 g sosp rett;A
26925115;PENTACOL 4;Mesalazina;28 g schiuma rett + 7 cannule rett;A
26925127;PENTACOL 2;Mesalazina;14 g schiuma rett + 7 cannule rett;A
26962047;HUMATROPE;Somatropina;1 cartuccia SC 6 mg + 1 siringa 3,17 ml;A
26962050;HUMATROPE;Somatropina;1 cartuccia SC 12 mg + 1 siringa 3,15 ml;A
26962062;HUMATROPE;Somatropina;1 cartuccia SC 24 mg + 1 siringa 3,15 ml;A
26964015;FARGANESSE;Prometazina;20 cpr riv 25 mg;A
26964039;FARGANESSE;Prometazina;5 fiale 50 mg/2 ml;A
26966034;CLEXANE;Enoxaparina sodica;6 siringhe 2.000 UI 0,2 ml;A
26966046;CLEXANE;Enoxaparina sodica;6 siringhe 4.000 UI 0,4 ml;A
26966061;CLEXANE;Enoxaparina sodica;6 siringhe 4.000 UI 0,4 ml;A
26973014;TAUTUX;Levodropropizina;sciroppo 1 flacone 200 ml 30 mg/5 ml;A
26973026;TAUTUX;Levodropropizina;os gtt 30 ml 6%;A
26981011;RIFATER;Isoniazide/pirazinamide/rifampicina;40 cpr riv 50 mg + 300 mg + 120 mg;A
26999021;DECAPEPTYL;Triptorelina;1 flaconcino IM 3,75 mg + 1 fiala solv 2 ml + 1 siringa;A
26999058;DECAPEPTYL;Triptorelina;1 flaconcino IM 11,25 mg + 1 fiala solv 2 ml + 1 siringa;A
27000013;COLIFOAM;Idrocortisone;14 dosi schiuma rett 10 g/100 g + 14 applicatori;A
27002043;ORAXIM;Cefuroxima;os sosp grat 100 ml 125 mg/5 ml;A
27002070;ORAXIM;Cefuroxima;os sosp grat 50 ml 250 mg/5 ml;A
27015142;EPREX;Epoetina alfa;1 siringa EV SC 1.000 UI 0,5 ml 2.000 UI/ml;A
27015155;EPREX;Epoetina alfa;1 siringa EV SC 2.000 UI 0,5 ml 4.000 UI/ml;A
27015167;EPREX;Epoetina alfa;1 siringa EV SC 3.000 UI 0,3 ml 10.000 UI/ml;A
27015179;EPREX;Epoetina alfa;1 siringa EV SC 4.000 UI 0,4 ml 10.000 UI/ml;A
27015181;EPREX;Epoetina alfa;1 siringa EV SC 10.000 UI 1 ml 10.000 UI/ml;A
27015231;EPREX;Epoetina alfa;1 siringa EV SC 5.000 UI 0,5 ml 10.000 UI/ml;A
27015243;EPREX;Epoetina alfa;1 siringa EV SC 6.000 UI 0,6 ml 10.000 UI/ml;A
27015268;EPREX;Epoetina alfa;1 siringa EV SC 8.000 UI 0,8 ml 10.000 UI/ml;A
27015282;EPREX;Epoetina alfa;1 siringa EV SC 40.000 UI 1 ml 40.000 UI/ml;A
27066125;ENANTONE;Leuprorelina;1 siringa preriempita doppia camera IM SC 3,75 mg/ml rilascio prolungato;A
27066137;ENANTONE;Leuprorelina;1 siringa preriempita doppia camera IM SC 11,25 mg/ml rilascio prolungato;A
27075023;CLARITYN;Loratadina;1 flacone 100 ml 1 mg/ml sciroppo;A
27083031;SANDOSTATINA;Octreotide;3 fiale EV SC 500 mcg 1 ml;A
27083082;SANDOSTATINA LAR;Octreotide;1 flacone IM 10 mg + siringa 2,5 ml + 2 aghi;A
27083094;SANDOSTATINA LAR;Octreotide;1 flacone IM 20 mg + siringa 2,5 ml +2 aghi;A
27083106;SANDOSTATINA LAR;Octreotide;1 flacone IM 30 mg + siringa 2 ml + 1 adattatore + 1 ago;A
27096041;ZENTEL;Albendazolo;3 cpr 400 mg;A
27103023;RIOPAN;Magaldrato;40 cpr mast 800 mg;A
27103035;RIOPAN GEL;Magaldrato;os gel 40 bust 80 mg/ml 10 ml;A
27103047;RIOPAN GEL;Magaldrato;os gel 1 flacone 250 ml 80 mg/ml;A
27104037;LONGASTATINA;Octreotide;3 fiale EV SC 0,5 mg 1 ml;A
27104088;LONGASTATINA LAR;Octreotide;1 flacone IM 10 mg + 1 siringa;A
27104090;LONGASTATINA LAR;Octreotide;1 flacone IM 20 mg + 1 siringa;A
27104102;LONGASTATINA LAR;Octreotide;1 flacone IM 30 mg + 1 siringa;A
27107010;DEPAMAG;Magnesio valproato;40 cpr gastrores 200 mg;A
27107022;DEPAMAG;Magnesio valproato;40 cpr gastrores 500 mg;A
27107034;DEPAMAG;Magnesio valproato;os soluz 100 ml 10%;A
27122112;ASALEX;Mesalazina;20 bust grat 1,5 g sosp rett;A
27174010;SUGUAN M;Metformina/glibenclamide;40 cpr riv 2,5 mg + 400 mg;A
27210044;LEVOBREN;Levosulpiride;6 fiale IM EV 2 ml 12,5 mg/ml;A
27218015;RITMODAN RETARD;Disopiramide;20 cpr 250 mg;A
27231012;DIFIX;Calcitriolo;30 cps 0,25 mcg;A
27231036;DIFIX;Calcitriolo;30 cps 0,50 mcg;A
27250024;LARIAM;Meflochina;8 cpr 250 mg;A
27267057;DIFLUCAN;Fluconazolo;os sosp 350 mg 10 mg/ml;A
27276031;FRAGMIN;Dalteparina;6 siringhe SC 2.500 UI 0,2 ml;A
27276043;FRAGMIN;Dalteparina;6 siringhe SC 5.000 UI 0,2 ml;A
27276082;FRAGMIN;Dalteparina;4 siringhe SC 10.000 UI 0,4 ml;A
27276094;FRAGMIN;Dalteparina;4 siringhe SC 12.500 UI 0,5 ml;A
27276106;FRAGMIN;Dalteparina;4 siringhe SC 15.000 UI 0,6 ml;A
27276120;FRAGMIN;Dalteparina;4 siringhe SC 7.500 UI 0,3 ml;A
27314018;XATRAL;Alfuzosina;30 cpr riv 2,5 mg;A
27370093;KLACID;Claritromicina;os grat sosp 14 bust 250 mg;A
27393014;CATAPRESAN TTS1;Clonidina;2 cerotti transd 2,5 mg;A
27393026;CATAPRESAN TTS2;Clonidina;2 cerotti transd 5 mg;A
27435078;RESPICUR;Teofillina;30 cps 400 mg rilascio prolungato;A
27435080;RESPICUR;Teofillina;30 cps 200 mg rilascio prolungato;A
27435155;RESPICUR;Teofillina;30 cps 300 mg rilascio prolungato;A
27439037;OXIVENT;Oxitropio bromuro;soluz nebul 20 ml 1,5 mg/ml;A
27441031;ZAVEDOS;Idarubicina;1 cps 5 mg flacone;A
27441043;ZAVEDOS;Idarubicina;1 cps 10 mg flacone;A
27441056;ZAVEDOS;Idarubicina;1 cps 25 mg flacone;A
27443011;SABRIL;Vigabatrin;50 cpr riv 500 mg;A
27443047;SABRIL;Vigabatrin;os grat 50 bust 500 mg;A
27460043;INIBACE;Cilazapril;14 cpr riv 5 mg;A
27464041;INITISS;Cilazapril;14 cpr riv 5 mg;A
27489018;GLUCAGEN HYPOKIT;Glucagone;1 fiala 1 mg + 1 siringa 1 ml;A
27529080;VECLAM;Claritromicina;os grat per sosp 14 bust 250 mg;A
27530094;MACLADIN;Claritromicina;os grat 14 bust 250 mg;A
27612074;ZOFRAN;Ondansetrone;4 supp 16 mg;A
27612086;ZOFRAN;Ondansetrone;1 flacone 50 ml 4 mg/5 ml sciroppo;A
27621010;PULMAXAN;Budesonide;polv inal 200 dosi 100 mcg turbohaler;A
27625019;PENTACARINAT;Pentamidina;1 fiala IM EV aerosol 300 mg;A
27660099;FORADIL;Formoterolo;soluz inal 100 dosi 12 mcg;A
27661014;SALVITUSS;Levodropropizina;1 flacone 200 ml 30 mg/5 ml sciroppo;A
27661026;SALVITUSS;Levodropropizina;os gtt 30 ml 6%;A
27665013;EMOSINT;Desmopressina;10 fiale IM EV SC 4 mcg 0,5 ml;A
27665025;EMOSINT;Desmopressina;10 fiale IM EV SC 20 mcg 1 ml;A
27670013;WALIX;Oxaprozina;30 cpr 600 mg;A
27683046;SANIFOLIN;Calcio folinato;1 fiala IM EV 50 mg;A
27686068;NORDITROPIN SIMPLEXX;Somatropina;1 cartuccia 5 mg 1,5 ml;A
27686082;NORDITROPIN SIMPLEXX;Somatropina;1 cartuccia 15 mg 1,5 ml;A
27686094;NORDITROPIN NORDIFLEX;Somatropina;1 penna preriempita 5 mg/1,5 ml;A
27686118;NORDITROPIN NORDIFLEX;Somatropina;1 penna preriempita 15 mg/1,5 ml;A
27696032;DELAKET 15;Delapril;28 cpr 15 mg;A
27715046;LOMIR SRO;Isradipina;14 cps 5 mg rilascio prolungato;A
27725023;ESRADIN;Isradipina;14 cps 5 mg rilascio prolungato;A
27727027;CLIVOTEN;Isradipina;14 cps 5 mg rilascio prolungato;A
27743032;ZOMACTON;Somatropina;1 flaconcino SC 4 mg + 1 fiala solv 3,5 ml;A
27747017;FOSIPRES;Fosinopril;28 cpr 10 mg;A
27753096;ZOLOFT;Sertralina;os soluz 1 flacone 60 ml 20 mg/ml;A
27772033;GRANULOKINE 30;Filgrastim;1 flaconcino SC EV 30.000.000 UI 1 ml;A
27772096;GRANULOKINE;Filgrastim;1 siringa 30.000.000 UI 0,5 ml;A
27777010;NEOH2;Roxatidina;28 cpr riv 75 mg rilascio prolungato;A
27777022;NEOH2;Roxatidina;14 cpr riv 150 mg rilascio prolungato;A
27797012;ESOLUT;Progesterone;crema vag 30 g + 6 applic;A
27797024;ESOLUT;Progesterone;12 ovuli vag 200 mg;A
27807066;LAMICTAL;Lamotrigina;28 cpr dispers 5 mg;A
27807179;LAMICTAL;Lamotrigina;30 cpr dispers 2 mg flacone;A
27808029;SPORANOX;Itraconazolo;os soluz 150 ml 10 mg/ml;A
27810023;EUFANS;Amtolmetina guacile;30 cpr riv 600 mg;A
27810035;EUFANS;Amtolmetina guacile;os grat 30 bust 600 mg;A
27814021;TRIASPORIN;Itraconazolo;os soluz 150 ml 10 mg/ml;A
27834035;ARTROMED;Amtolmetina guacile;os grat 30 bust 600 mg;A
27834062;ARTROMED;Amtolmetina guacile;30 cpr riv 600 mg;A
27850104;ISOCEF;Ceftibuten;grat os sosp 36 mg/ml flacone;A
27850142;ISOCEF;Ceftibuten;6 cps 400 mg;A
27860143;ZITROMAX AVIUM 600;Azitromicina;8 cpr 600 mg;A
27865106;NAVELBINE;Vinorelbina;1 cps 20 mg;A
27865118;NAVELBINE;Vinorelbina;1 cps 30 mg;A
27890110;SEREVENT;Salmeterolo;sosp inal 120 erog 25 mcg;A
27890146;SEREVENT DISKUS;Salmeterolo;60 dosi 50 mcg polv inal;A
27891124;ARIAL DISKUS;Salmeterolo;60 dosi 50 mcg polv inal;A
27891136;ARIAL;Salmeterolo;sosp inal 120 erog 25 mcg;A
27892126;SALMETEDUR DISKUS;Salmeterolo;60 dosi 50 mcg polv inal;A
27892138;SALMETEDUR;Salmeterolo;sosp inal 120 erog 25 mcg;A
27909062;METAFAR;Cefmetazolo;1 fiala IM 1 g + 1 fiala solv 4 ml;A
27939038;TIMECEF;Cefodizima;1 fiala IM 1 g + 1 fiala solv 4 ml;A
27940030;DIEZIME;Cefodizima;1 fiala IM 1 g + 1 fiala solv 4 ml;A
27943048;MAXAQUIN;Lomefloxacina;5 cpr riv 400 mg;A
27944040;UNIQUIN;Lomefloxacina;5 cpr riv 400 mg;A
27951045;MODIVID;Cefodizima;1 fiala IM 1 g + 1 fiala solv 4 ml;A
27957024;CHIMONO;Lomefloxacina;5 cpr riv 400 mg;A
27963026;SEROXAT;Paroxetina;os sosp 150 ml 2 mg/ml;A
27964028;EUTIMIL;Paroxetina;os sosp 150 ml 2 mg/ml;A
27965021;SEREUPIN;Paroxetina;os sosp 150 ml 2 mg/ml;A
27975061;IMIGRAN;Sumatriptan;2 siringhe SC 6 mg 0,5 ml;A
27975135;IMIGRAN SPRAY NASALE;Sumatriptan;2 flaconi spray nasale 20 mg;A
27980034;ADALAT CRONO;Nifedipina;14 cpr 20 mg rilascio modificato;A
28028064;QARI;Rufloxacina;6 cpr riv 200 mg;A
28048066;MONOS;Rufloxacina;6 cpr riv 200 mg;A
28142026;MONONINE;Fattore IX di coagulazione del sangue umano liofilizzato;1 fiala EV 500 UI + 1 fiala solv 5 ml + kit;A
28142038;MONONINE;Fattore IX di coagulazione del sangue umano liofilizzato;1 fiala EV 1.000 UI + 1 fiala solv 10 ml + kit;A
28159073;ADVANTAN;Metilprednisolone;crema derm 50 g 0,1%;A
28248021;NARCORAL;Naltrexone;10 cpr 50 mg;A
28262020;DIURESIX;Torasemide;5 fiale EV 10 mg 2 ml;A
28267021;GOPTEN;Trandolapril;28 cps 0,5 mg;A
28270066;DERVIN;Diflucortolone;crema derm 30 g 0,3%;A
28313017;BACTRIM PERFUSIONE;Trimetoprim/sulfametoxazolo;1 fiala EV 80 mg/5 ml + 400 mg/5 ml;A
28318020;CORTICAL;Diflucortolone;pom derm 20 g 0,3%;A
28330013;AKINETON;Biperidene;60 cpr 2 mg;A
28330037;AKINETON;Biperidene;50 cpr 4 mg rilascio prolungato;A
28426017;MYCOBUTIN;Rifabutina;30 cps 150 mg;A
28437022;FELDENE FAST;Piroxicam;20 cpr sublinguali 20 mg;A
28580037;SPASMODIL;Pipetanato;6 fiale IM EV 10 mg 1 ml;A
2860017;LUMINALE;Fenobarbital;10 fiale IM 200 mg 1 ml;A
2860031;LUMINALE;Fenobarbital;20 cpr 100 mg;A
2860043;LUMINALE;Fenobarbital;30 cpr 15 mg;A
28667020;FLIXOTIDE 50;Fluticasone;sosp inal 120 erog 50 mcg;A
28667095;FLIXOTIDE 125;Fluticasone;sosp inal 120 erog 125 mcg;A
28667107;FLIXOTIDE 250;Fluticasone;sosp inal 120 erog 250 mcg;A
28667184;FLIXOTIDE 250;Fluticasone;polv inal 60 dosi 250 mcg;A
28667208;FLIXOTIDE 500;Fluticasone;60 dosi 500 mcg polv inal;A
28667210;FLIXOTIDE;Fluticasone;sosp nebul 10 contenitori monod 500 mcg 2 ml;A
28675104;FLUSPIRAL;Fluticasone;sosp inal 120 dosi 50 mcg;A
28675179;FLUSPIRAL;Fluticasone;sosp inal 120 dosi 125 mcg;A
28675181;FLUSPIRAL;Fluticasone;sosp inal 120 dosi 250 mcg;A
28675268;FLUSPIRAL;Fluticasone;DISKUS polv inal 60 dosi 100 mcg;A
28675270;FLUSPIRAL;Fluticasone;DISKUS polv inal 60 dosi 250 mcg;A
28675282;FLUSPIRAL;Fluticasone;DISKUS polv inal 60 dosi 500 mcg;A
28675294;FLUSPIRAL;Fluticasone;sosp nebul 10 contenitori monod 500 mcg 2 ml;A
28686044;GRANOCYTE 34;Lenograstim;1 fiala EV SC 33.600.000 UI 1 ml + 1 siringa;A
